batsman,match_date,venue,match_type,innings_number,runs_batsman,balls_faced,boundary_4,boundary_6,strike_rate,batting_points,moving_average,avg_runs_innings_1,avg_runs_innings_2
RG Sharma,2016-01-26,Adelaide Oval,T20,1,31,22,4,1,140.9090909090909,37,,166.0,143.0
RG Sharma,2016-01-29,Melbourne Cricket Ground,T20,1,60,48,5,2,125.0,77,,149.0,140.0
RG Sharma,2016-01-31,Sydney Cricket Ground,T20,2,52,42,5,1,123.80952380952381,67,,146.0,136.0
RG Sharma,2016-02-09,Maharashtra Cricket Association Stadium,T20,1,0,2,0,0,0.0,0,,160.0,146.0
RG Sharma,2016-02-12,JSCA International Stadium Complex,T20,1,43,36,2,1,119.44444444444444,47,35.75,186.0,124.0
RG Sharma,2016-02-14,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,T20,2,13,13,1,1,100.0,16,38.75,141.0,119.0
RG Sharma,2016-02-24,Shere Bangla National Stadium,T20,1,83,55,7,3,150.9090909090909,104,27.0,139.0,118.0
RG Sharma,2016-02-27,Shere Bangla National Stadium,T20,2,0,2,0,0,0.0,0,34.75,139.0,118.0
RG Sharma,2016-03-01,Shere Bangla National Stadium,T20,2,15,14,3,0,107.14285714285714,18,35.25,139.0,118.0
RG Sharma,2016-03-03,Shere Bangla National Stadium,T20,2,39,28,7,1,139.28571428571428,48,33.25,139.0,118.0
RG Sharma,2016-03-06,Shere Bangla National Stadium,T20,2,1,5,0,0,20.0,1,30.625,139.0,118.0
RG Sharma,2016-03-15,"Vidarbha Cricket Association Stadium, Jamtha",T20,2,5,7,0,0,71.42857142857143,5,24.25,187.0,161.0
RG Sharma,2016-03-19,Eden Gardens,T20,2,10,13,2,0,76.92307692307693,12,24.875,162.0,145.0
RG Sharma,2016-03-23,M Chinnaswamy Stadium,T20,1,18,17,1,1,105.88235294117648,21,20.75,159.0,136.0
RG Sharma,2016-03-27,"Punjab Cricket Association IS Bindra Stadium, Mohali",T20,2,12,17,1,0,70.58823529411765,13,21.375,163.0,158.0
RG Sharma,2016-03-31,Wankhede Stadium,T20,1,43,31,3,3,138.70967741935485,52,12.5,168.0,160.0
RG Sharma,2016-04-09,Wankhede Stadium,T20,1,7,5,1,0,140.0,8,17.875,168.0,160.0
RG Sharma,2016-04-13,Eden Gardens,T20,2,84,55,10,3,152.72727272727275,108,16.875,162.0,145.0
RG Sharma,2016-04-16,Wankhede Stadium,T20,1,7,9,1,0,77.77777777777779,8,22.5,168.0,160.0
RG Sharma,2016-04-18,"Rajiv Gandhi International Stadium, Uppal",T20,1,5,8,0,0,62.5,5,23.25,153.0,142.0
RG Sharma,2016-04-20,Wankhede Stadium,T20,2,62,44,4,3,140.9090909090909,80,23.25,168.0,160.0
RG Sharma,2016-04-23,Feroz Shah Kotla,T20,2,65,48,7,1,135.41666666666669,82,29.75,159.0,145.0
RG Sharma,2016-04-25,"Punjab Cricket Association IS Bindra Stadium, Mohali",T20,1,0,2,0,0,0.0,0,35.625,163.0,158.0
RG Sharma,2016-04-28,Wankhede Stadium,T20,2,68,49,8,2,138.77551020408163,88,34.125,168.0,160.0
RG Sharma,2016-05-01,Maharashtra Cricket Association Stadium,T20,2,85,61,8,3,139.34426229508196,107,37.25,160.0,146.0
RG Sharma,2016-05-08,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,T20,2,5,3,1,0,166.66666666666669,6,47.0,141.0,119.0
RG Sharma,2016-05-11,M Chinnaswamy Stadium,T20,2,25,26,3,0,96.15384615384616,28,37.125,159.0,136.0
RG Sharma,2016-05-13,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,T20,1,15,24,1,0,62.5,14,39.375,141.0,119.0
RG Sharma,2016-05-15,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,T20,1,31,21,1,3,147.61904761904762,38,40.625,141.0,119.0
RG Sharma,2016-05-21,Green Park,T20,1,30,17,4,2,176.47058823529412,38,36.75,150.0,153.0
RG Sharma,2016-08-27,Central Broward Regional Park Stadium Turf Ground,T20,2,62,29,4,4,213.79310344827584,82,32.375,161.0,141.0
RG Sharma,2017-04-06,Maharashtra Cricket Association Stadium,T20,1,3,7,0,0,42.857142857142854,3,40.125,160.0,146.0
RG Sharma,2017-04-09,Wankhede Stadium,T20,2,2,6,0,0,33.33333333333333,2,32.0,168.0,160.0
RG Sharma,2017-04-12,Wankhede Stadium,T20,2,4,4,0,0,100.0,4,21.625,168.0,160.0
RG Sharma,2017-04-14,M Chinnaswamy Stadium,T20,2,0,2,0,0,0.0,0,21.5,159.0,136.0
RG Sharma,2017-04-16,Wankhede Stadium,T20,2,40,29,3,1,137.93103448275863,45,18.375,168.0,160.0
RG Sharma,2017-04-22,Wankhede Stadium,T20,1,5,9,0,0,55.55555555555556,5,21.5,168.0,160.0
RG Sharma,2017-04-24,Wankhede Stadium,T20,2,58,40,6,3,145.0,78,18.25,168.0,160.0
RG Sharma,2017-05-01,Wankhede Stadium,T20,2,56,39,6,1,143.5897435897436,72,21.75,168.0,160.0
RG Sharma,2017-05-06,Feroz Shah Kotla,T20,1,10,6,1,0,166.66666666666669,11,21.0,159.0,145.0
RG Sharma,2017-05-08,"Rajiv Gandhi International Stadium, Uppal",T20,1,67,45,6,2,148.88888888888889,85,21.875,153.0,142.0
RG Sharma,2017-05-11,Wankhede Stadium,T20,2,5,7,0,0,71.42857142857143,5,30.0,168.0,160.0
RG Sharma,2017-05-13,Eden Gardens,T20,1,27,22,4,1,122.72727272727273,33,30.125,162.0,145.0
RG Sharma,2017-05-16,Wankhede Stadium,T20,2,1,2,0,0,50.0,1,33.5,168.0,160.0
RG Sharma,2017-05-19,M Chinnaswamy Stadium,T20,2,26,24,1,1,108.33333333333333,29,28.625,159.0,136.0
RG Sharma,2017-05-21,"Rajiv Gandhi International Stadium, Uppal",T20,1,24,23,4,0,104.34782608695652,28,31.25,153.0,142.0
RG Sharma,2018-04-07,Wankhede Stadium,T20,1,15,19,1,1,78.94736842105263,18,27.0,168.0,160.0
RG Sharma,2018-04-12,"Rajiv Gandhi International Stadium, Uppal",T20,1,11,10,1,1,110.00000000000001,14,21.875,153.0,142.0
RG Sharma,2018-04-14,Wankhede Stadium,T20,1,18,16,2,0,112.5,20,22.0,168.0,160.0
RG Sharma,2018-04-17,Wankhede Stadium,T20,1,94,54,10,5,174.07407407407408,122,15.875,168.0,160.0
RG Sharma,2018-04-22,Sawai Mansingh Stadium,T20,1,0,1,0,0,0.0,0,27.0,156.0,147.0
RG Sharma,2018-04-24,Wankhede Stadium,T20,2,2,6,0,0,33.33333333333333,2,23.625,168.0,160.0
RG Sharma,2018-04-28,Maharashtra Cricket Association Stadium,T20,2,56,35,6,2,160.0,74,23.75,160.0,146.0
RG Sharma,2018-05-01,M.Chinnaswamy Stadium,T20,2,0,1,0,0,0.0,0,27.5,171.0,167.0
RG Sharma,2018-05-04,Holkar Cricket Stadium,T20,2,24,15,1,2,160.0,29,24.5,157.0,156.0
RG Sharma,2018-05-06,Wankhede Stadium,T20,1,11,11,1,0,100.0,12,25.625,168.0,160.0
RG Sharma,2018-05-09,Eden Gardens,T20,1,36,32,2,1,112.5,40,25.625,162.0,145.0
RG Sharma,2018-05-13,Wankhede Stadium,T20,1,0,1,0,0,0.0,0,27.875,168.0,160.0
RG Sharma,2018-05-16,Wankhede Stadium,T20,1,6,10,0,0,60.0,4,16.125,168.0,160.0
RG Sharma,2018-05-20,Feroz Shah Kotla,T20,2,13,12,1,0,108.33333333333333,14,16.875,159.0,145.0
RG Sharma,2019-03-24,Wankhede Stadium,T20,2,14,13,2,0,107.6923076923077,16,18.25,168.0,160.0
RG Sharma,2019-03-28,M.Chinnaswamy Stadium,T20,1,48,33,8,1,145.45454545454547,58,13.0,171.0,167.0
RG Sharma,2019-03-30,"Punjab Cricket Association IS Bindra Stadium, Mohali",T20,1,32,18,5,0,177.77777777777777,37,19.0,163.0,158.0
RG Sharma,2019-04-03,Wankhede Stadium,T20,1,13,19,1,0,68.42105263157895,12,20.0,168.0,160.0
RG Sharma,2019-04-06,"Rajiv Gandhi International Stadium, Uppal",T20,1,11,14,0,1,78.57142857142857,13,20.25,153.0,142.0
RG Sharma,2019-04-13,Wankhede Stadium,T20,1,47,32,6,1,146.875,55,17.125,168.0,160.0
RG Sharma,2019-04-15,Wankhede Stadium,T20,2,28,20,2,2,140.0,34,23.0,168.0,160.0
RG Sharma,2019-04-18,Feroz Shah Kotla,T20,1,30,22,3,1,136.36363636363635,35,25.75,159.0,145.0
RG Sharma,2019-04-20,Sawai Mansingh Stadium,T20,1,5,7,1,0,71.42857142857143,6,27.875,156.0,147.0
RG Sharma,2019-04-26,"MA Chidambaram Stadium, Chepauk",T20,1,67,48,6,3,139.58333333333331,87,26.75,146.0,128.0
RG Sharma,2019-04-28,Eden Gardens,T20,2,12,9,3,0,133.33333333333331,15,29.125,162.0,145.0
RG Sharma,2019-05-05,Wankhede Stadium,T20,2,55,49,8,0,112.24489795918366,71,26.625,168.0,160.0
RG Sharma,2019-05-07,"MA Chidambaram Stadium, Chepauk",T20,2,4,2,1,0,200.0,5,31.875,146.0,128.0
RG Sharma,2019-05-12,"Rajiv Gandhi International Stadium, Uppal",T20,1,15,14,1,1,107.14285714285714,18,31.0,153.0,142.0
RG Sharma,2019-08-03,Central Broward Regional Park Stadium Turf Ground,T20,2,24,25,2,2,96.0,30,27.0,161.0,141.0
RG Sharma,2019-08-04,Central Broward Regional Park Stadium Turf Ground,T20,1,67,56,6,3,119.64285714285714,87,26.5,161.0,141.0
RG Sharma,2019-09-18,"Punjab Cricket Association IS Bindra Stadium, Mohali",T20,2,12,14,0,2,85.71428571428571,16,31.125,163.0,158.0
RG Sharma,2019-09-22,M.Chinnaswamy Stadium,T20,1,9,8,2,0,112.5,11,32.0,171.0,167.0
RG Sharma,2019-11-03,Arun Jaitley Stadium,T20,1,9,5,2,0,180.0,11,24.75,144.0,147.0
RG Sharma,2019-11-07,Saurashtra Cricket Association Stadium,T20,2,85,45,6,6,188.88888888888889,111,24.375,164.0,154.0
RG Sharma,2019-11-10,"Vidarbha Cricket Association Stadium, Jamtha",T20,1,2,6,0,0,33.33333333333333,2,28.125,187.0,161.0
RG Sharma,2019-12-06,"Rajiv Gandhi International Stadium, Uppal",T20,2,8,10,1,0,80.0,9,27.875,153.0,142.0
RG Sharma,2019-12-08,Greenfield International Stadium,T20,1,15,19,2,0,78.94736842105263,17,27.0,152.0,168.0
RG Sharma,2019-12-11,Wankhede Stadium,T20,1,71,35,6,5,202.85714285714283,95,25.875,168.0,160.0
