venue,Official_name,similarity_score
"Punjab   Association IS Bindra  , Mohali",Punjab   Association   Mohali,0.7745966692414834
Bellerive Oval,Bellerive Oval,0.9999999999999998
Old Trafford,Old Trafford    ,0.9999999999999998
Central Broward Regional Park   Turf  ,Central Broward Regional Park,0.8944271909999159
"Rajiv Gandhi International  , Uppal",Rajiv Gandhi International    ,0.8660254037844388
Adelaide Oval,Adelaide Oval,0.9999999999999998
M Chinnaswamy  ,M  Chinnaswamy   Chinnaswamy  ,1.0
Kingsmead,"Sahara  , Kingsmead Kingsmead",0.8944271909999159
ICC Academy,ICC Global   Academy,0.816496580927726
Arundel Castle   Club  ,Clontarf   Club   Castle Avenue,0.5773502691896258
Eden Gardens,Eden Gardens,0.9999999999999998
Docklands  ,"Docklands   Etihad  , formerly Colonial  /Telstra Dome",0.4082482904638631
Sydney    ,Sydney     SCG,0.7071067811865475
"Sir Vivian Richards  , North Sound",Sir Vivian Richards  ,0.7745966692414834
Carrara Oval,The Oval,0.4999999999999999
Sydney Showground  ,Sydney     SCG,0.4999999999999999
Kinrara Academy Oval,Kinrara Academy Oval,1.0000000000000002
Sheikh Zayed  ,Sheikh Zayed    ,0.9999999999999998
"County  , Hove",County  ,0.7071067811865475
Manuka Oval,Manuka Oval,0.9999999999999998
Saurashtra   Association  ,Saurashtra   Association   Khanderi    ,0.816496580927726
Harare Sports Club,Harare Sports Club formerly Salisbury Sports Club,0.8703882797784893
"Queens Park Oval, Port of Spain",Queens Park Oval,0.7071067811865477
Wankhede  ,Wankhede  ,1.0
Dubai International    ,Dubai International     Dubai Sports City  ,0.8017837257372731
Indian Association  ,Tasmania   Association  ,0.4999999999999999
"Darren Sammy National    , Gros Islet",Darren Sammy National     Beausejour,0.6708203932499369
Perth  ,Perth  ,1.0
ICC Global   Academy,ICC Global   Academy,1.0000000000000002
Amini Park,Amini Park,0.9999999999999998
County  ,County  ,1.0
Shere Bangla National  ,Shere e Bangla  ,0.816496580927726
Dr  Y S  Rajasekhara Reddy ACA VDCA    ,Dr YS Rajasekhara Reddy Andhra CA Visakhapatnam District CA     APCA VDCA  ,0.4961389383568338
Edgbaston,Edgbaston    ,1.0
St Georges Park,Axxess DSL St  Georges St George’s Park,0.769800358919501
Melbourne    ,Melbourne     MCG,0.7071067811865475
Al Amerat     Oman   Ministry Turf 1,Al Amerat     Ministry Turf 1,0.8944271909999159
Maharashtra   Association  ,Maharashtra   Association  ,0.9999999999999998
Tolerance Oval,The Oval,0.4999999999999999
The Rose Bowl,Rose Bowl Ageas Bowl,0.7071067811865477
Trent Bridge,Trent Bridge,0.9999999999999998
